id,pasangan_mapel,konsep_A,mapel_A,relasi_diusulkan,konsep_B,mapel_B,penjelasan_LLM,1_relasi_valid? (Ya/Tidak),2_tipe_relasi_benar? (Benar/Salah),2b_jika_salah_tipe_yg_benar,3_arah_benar? (Benar/Terbalik/NA),komentar
LB032,Biologi <-> Kimia,Polimer,Kimia,PRASYARAT_UNTUK,Translasi,Biologi,"Konsep Polimer (Kimia) adalah prasyarat untuk memahami produk Translasi (Biologi) yaitu polipeptida, yang merupakan jenis polimer.",,,,,
LB033,Biologi <-> Kimia,Fosforilasi Oksidatif,Biologi,PRASYARAT_UNTUK,Reaksi Redoks,Kimia,Konsep reaksi redoks (Kimia) adalah prasyarat untuk memahami mekanisme transfer elektron dan produksi energi dalam fosforilasi oksidatif (Biologi).,,,,,
LB034,Biologi <-> Kimia,Enzim,Biologi,APLIKASI_DARI,Protein,Kimia,"Enzim dalam biologi adalah salah satu jenis Protein, yang merupakan makromolekul organik yang dipelajari dalam kimia.",,,,,
LB035,Biologi <-> Kimia,Asam Amino,Kimia,PRASYARAT_UNTUK,Kode Genetik,Biologi,Pemahaman tentang asam amino dari Kimia adalah prasyarat untuk memahami bagaimana kode genetik menentukan urutan asam amino dalam protein.,,,,,
LB036,Biologi <-> Kimia,Fosforilasi Oksidatif,Biologi,MEMPERDALAM,Reaksi Oksidasi Senyawa Organik,Kimia,Konsep reaksi oksidasi senyawa organik (Kimia) memperdalam pemahaman tentang mekanisme kimiawi yang mendasari fosforilasi oksidatif (Biologi).,,,,,
LB037,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Kode Genetik,Biologi,Pemahaman struktur DNA adalah prasyarat untuk memahami bagaimana kode genetik disimpan dan diekspresikan.,,,,,
LB038,Biologi <-> Kimia,Hidrokarbon,Kimia,PRASYARAT_UNTUK,Teori Evolusi Kimia,Biologi,Konsep hidrokarbon dari Kimia adalah prasyarat untuk memahami jenis senyawa organik awal yang terlibat dalam Teori Evolusi Kimia di Biologi.,,,,,
LB039,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,BERKAITAN_DENGAN,Enzim,Biologi,"DNA (Kimia) adalah cetak biru genetik yang mengkodekan informasi untuk sintesis enzim (Biologi), dan enzim berperan penting dalam proses yang melibatkan DNA.",,,,,
LB040,Biologi <-> Kimia,Enzim Fermentasi,Biologi,PRASYARAT_UNTUK,Protein,Kimia,Pemahaman tentang protein dari Kimia adalah prasyarat untuk memahami struktur dan fungsi enzim fermentasi dalam Biologi.,,,,,
LB041,Biologi <-> Kimia,Inhibitor Enzim,Biologi,PRASYARAT_UNTUK,Isomer,Kimia,Konsep isomer dari Kimia adalah prasyarat untuk memahami bagaimana bentuk molekul inhibitor enzim di Biologi mempengaruhi interaksinya dengan enzim.,,,,,
LB042,Biologi <-> Kimia,Kode Genetik,Biologi,PRASYARAT_UNTUK,Protein,Kimia,Pemahaman kode genetik adalah prasyarat untuk memahami bagaimana urutan asam amino dalam protein ditentukan.,,,,,
LB043,Biologi <-> Kimia,Nukleotida,Kimia,PRASYARAT_UNTUK,Transkripsi,Biologi,Pemahaman tentang nukleotida (Kimia) adalah prasyarat untuk memahami bagaimana unit-unit ini dirangkai selama proses transkripsi (Biologi).,,,,,
LB044,Biologi <-> Kimia,Asam Amino,Kimia,PRASYARAT_UNTUK,Sintesis Protein,Biologi,"Konsep asam amino dari kimia adalah prasyarat fundamental untuk memahami proses sintesis protein dalam biologi, karena asam amino adalah unit pembangun protein.",,,,,
LB045,Biologi <-> Kimia,Asam Amino,Kimia,PRASYARAT_UNTUK,Kromosom,Biologi,"Asam amino adalah monomer penyusun protein histon, yang merupakan komponen kromosom; pemahaman Kimia adalah prasyarat Biologi.",,,,,
LB046,Biologi <-> Kimia,Respirasi Seluler,Biologi,MEMPERDALAM,ggl sel,Kimia,Konsep ggl sel dalam Kimia dapat memperdalam pemahaman tentang transfer elektron dan produksi energi dalam proses respirasi seluler di Biologi.,,,,,
LB047,Biologi <-> Kimia,Protein,Kimia,PRASYARAT_UNTUK,Transkripsi,Biologi,Pemahaman tentang protein (Kimia) adalah prasyarat untuk memahami peran enzim RNA polimerase (protein) dalam proses transkripsi (Biologi).,,,,,
LB048,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Kemiripan DNA,Biologi,Pemahaman struktur DNA dari Kimia adalah prasyarat untuk memahami konsep kemiripan DNA dan implikasinya dalam Biologi.,,,,,
LB049,Fisika <-> Kimia,Klasifikasi Semikonduktor,Fisika,BERKAITAN_DENGAN,Polimer Anorganik,Kimia,"Beberapa polimer anorganik dapat menunjukkan sifat semikonduktor, sehingga kedua konsep ini berkaitan dalam konteks material.",,,,,
LB050,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Dogma Sentral Biologi,Biologi,Pemahaman struktur DNA dari Kimia adalah prasyarat untuk memahami peran DNA dalam aliran informasi genetik pada Dogma Sentral Biologi.,,,,,
LB051,Biologi <-> Kimia,Materi Genetik,Biologi,PRASYARAT_UNTUK,Nukleotida,Kimia,Pemahaman tentang Nukleotida sebagai monomer penyusun DNA dalam Kimia adalah prasyarat untuk memahami Materi Genetik yang meliputi DNA dalam Biologi.,,,,,
LB052,Biologi <-> Kimia,Kode Genetik,Biologi,APLIKASI_DARI,Nukleotida,Kimia,Konsep kode genetik dalam biologi merupakan penerapan dari konsep nukleotida kimia sebagai dasar pengkodean informasi.,,,,,
LB053,Biologi <-> Kimia,Inhibitor Enzim,Biologi,PRASYARAT_UNTUK,Protein,Kimia,Pemahaman tentang Protein (Kimia) sebagai makromolekul dasar adalah prasyarat untuk memahami Enzim dan Inhibitor Enzim (Biologi).,,,,,
LB054,Biologi <-> Kimia,Polimer Alam (Biopolimer),Kimia,MEMPERDALAM,Translasi,Biologi,Konsep polimer alam (biopolimer) dari kimia memperdalam pemahaman bahwa polipeptida yang dihasilkan translasi adalah jenis protein.,,,,,
LB055,Biologi <-> Kimia,Protein,Kimia,PRASYARAT_UNTUK,Teori Induced Fit,Biologi,Pemahaman protein sebagai makromolekul kimia adalah prasyarat untuk memahami mekanisme kerja enzim yang dijelaskan oleh Teori Induced Fit.,,,,,
LB056,Biologi <-> Kimia,Enzim,Biologi,BERKAITAN_DENGAN,Unit Ulang Monomer,Kimia,"Enzim adalah polimer (protein) yang tersusun dari unit ulang monomer (asam amino), sehingga konsep ini berkaitan secara struktural.",,,,,
LB057,Biologi <-> Kimia,Kromosom,Biologi,MEMPERDALAM,Protein,Kimia,Konsep protein dalam Kimia memperdalam pemahaman tentang protein histon sebagai komponen struktural kromosom dalam Biologi.,,,,,
LB058,Biologi <-> Kimia,Kromosom,Biologi,PRASYARAT_UNTUK,Nukleotida,Kimia,"Nukleotida (Kimia) adalah monomer penyusun DNA, yang merupakan komponen utama kromosom (Biologi), menjadikannya prasyarat fundamental.",,,,,
LB059,Biologi <-> Kimia,Gugus Fungsi,Kimia,PRASYARAT_UNTUK,Inhibitor Enzim,Biologi,Pemahaman gugus fungsi dari Kimia adalah prasyarat untuk memahami bagaimana inhibitor enzim di Biologi berinteraksi dengan enzim pada tingkat molekuler.,,,,,
LB060,Biologi <-> Fisika,Efek Fotolistrik,Fisika,MEMPERDALAM,Fotosintesis,Biologi,"Efek fotolistrik memperdalam pemahaman bagaimana energi cahaya memicu pergerakan elektron, relevan dengan inisiasi fotosintesis.",,,,,
LB061,Fisika <-> Kimia,Gaya Gerak Listrik (GGL) Sel Elektrokimia,Kimia,APLIKASI_DARI,Potensial Listrik,Fisika,Gaya Gerak Listrik (GGL) Sel Elektrokimia (Kimia) adalah penerapan atau manifestasi spesifik dari konsep potensial listrik (Fisika) dalam konteks sel elektrokimia.,,,,,
LB062,Biologi <-> Kimia,Enzim Fermentasi,Biologi,APLIKASI_DARI,Etanol,Kimia,"Enzim fermentasi di Biologi adalah agen biologis yang mengkatalisis produksi etanol, sebuah senyawa kimia.",,,,,
LB063,Fisika <-> Kimia,Arus Listrik,Fisika,APLIKASI_DARI,Elektroforesis,Kimia,Elektroforesis (Kimia) adalah penerapan konsep arus listrik (Fisika) untuk memisahkan partikel koloid bermuatan.,,,,,
LB064,Biologi <-> Kimia,Fosforilasi Oksidatif,Biologi,MEMPERDALAM,Sel Volta,Kimia,Prinsip konversi energi kimia melalui reaksi redoks pada Sel Volta (Kimia) memperdalam pemahaman mekanisme Fosforilasi Oksidatif (Biologi).,,,,,
LB065,Biologi <-> Kimia,Protein,Kimia,PRASYARAT_UNTUK,Sintesis Protein,Biologi,Pemahaman tentang struktur dan komposisi kimia protein (Kimia) adalah prasyarat untuk memahami proses biologis sintesisnya (Biologi).,,,,,
LB066,Biologi <-> Kimia,Fotosintesis,Biologi,MEMPERDALAM,Monosakarida,Kimia,Pemahaman tentang monosakarida seperti glukosa dari sudut pandang kimia memperdalam pemahaman tentang produk utama yang dihasilkan dalam proses fotosintesis.,,,,,
LB067,Biologi <-> Kimia,Fosforilasi Oksidatif,Biologi,MEMPERDALAM,Reaksi Elektrokimia,Kimia,Prinsip Reaksi Elektrokimia (Kimia) yang melibatkan transfer elektron dan konversi energi memperdalam pemahaman Fosforilasi Oksidatif (Biologi).,,,,,
LB068,Biologi <-> Kimia,Fotosintesis,Biologi,MEMPERDALAM,Pati,Kimia,"Fotosintesis (Biologi) menjelaskan proses biologis yang menghasilkan glukosa, yang kemudian disimpan sebagai pati (Kimia), sehingga memperdalam pemahaman tentang asal pati.",,,,,
LB069,Biologi <-> Kimia,Metabolisme,Biologi,BERKAITAN_DENGAN,Reaksi Elektrokimia,Kimia,"Metabolisme melibatkan berbagai reaksi kimia dan perubahan energi dalam sel, yang dapat berkaitan dengan prinsip-prinsip reaksi elektrokimia dalam konteks transfer elektron.",,,,,
LB070,Biologi <-> Kimia,Energi Aktivasi,Biologi,PRASYARAT_UNTUK,Reaksi Polimerisasi,Kimia,"Konsep energi aktivasi adalah prasyarat untuk memahami reaksi polimerisasi, karena setiap reaksi kimia membutuhkan energi aktivasi untuk dimulai.",,,,,
LB071,Biologi <-> Kimia,Fotosintesis,Biologi,MEMPERDALAM,Selulosa,Kimia,Konsep selulosa dari kimia memperdalam pemahaman tentang salah satu produk akhir dari glukosa hasil fotosintesis.,,,,,
LB072,Fisika <-> Kimia,Arus Listrik,Fisika,APLIKASI_DARI,Pelapisan Logam (Electroplating),Kimia,Pelapisan logam (electroplating) dalam Kimia adalah aplikasi langsung dari konsep arus listrik yang dipelajari dalam Fisika.,,,,,
LB073,Biologi <-> Kimia,Holoenzim,Biologi,PRASYARAT_UNTUK,Protein,Kimia,Pemahaman tentang protein dari Kimia adalah prasyarat untuk memahami komponen protein (apoenzim) dalam struktur holoenzim di Biologi.,,,,,
LB074,Fisika <-> Kimia,alat ukur listrik,Fisika,PRASYARAT_UNTUK,sel elektrokimia,Kimia,Konsep alat ukur listrik dari Fisika adalah prasyarat untuk mengukur dan menganalisis kinerja sel elektrokimia dalam Kimia.,,,,,
LB075,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Mutasi,Biologi,Pemahaman struktur kimia DNA dari Kimia adalah prasyarat fundamental untuk memahami konsep mutasi sebagai perubahan pada materi genetik dalam Biologi.,,,,,
LB076,Fisika <-> Kimia,Potensial Elektrode,Kimia,APLIKASI_DARI,Potensial Listrik,Fisika,"Potensial Elektrode dalam kimia adalah manifestasi spesifik dari konsep Potensial Listrik yang lebih umum dalam fisika, terkait perbedaan tegangan pada elektroda.",,,,,
LB077,Biologi <-> Kimia,Oksidasi,Kimia,MEMPERDALAM,Siklus Krebs,Biologi,Konsep oksidasi dari Kimia memberikan dasar kimia yang memperdalam pemahaman tentang reaksi redoks yang terjadi dalam Siklus Krebs di Biologi.,,,,,
LB078,Biologi <-> Kimia,Reaksi Polimerisasi,Kimia,PRASYARAT_UNTUK,Transkripsi,Biologi,Pemahaman tentang reaksi polimerisasi secara kimia merupakan prasyarat untuk memahami mekanisme pembentukan RNA dalam proses transkripsi biologis.,,,,,
LB079,Biologi <-> Kimia,Bioteknologi Modern,Biologi,PRASYARAT_UNTUK,DNA (Asam 2-Deoksiribonukleat),Kimia,Pemahaman struktur DNA dari Kimia adalah prasyarat untuk memahami dasar teknologi rekayasa genetika dalam Bioteknologi Modern.,,,,,
LB080,Biologi <-> Kimia,Gen,Biologi,APLIKASI_DARI,Nukleotida,Kimia,Konsep gen dalam biologi merupakan penerapan dari konsep nukleotida kimia sebagai unit penyusun urutan informasi genetik.,,,,,
LB081,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Pembelahan Sel,Biologi,Pemahaman struktur DNA dari Kimia adalah prasyarat untuk memahami replikasi dan distribusi materi genetik selama pembelahan sel di Biologi.,,,,,
LB082,Biologi <-> Kimia,Senyawa Organik,Kimia,PRASYARAT_UNTUK,Teori Evolusi Kimia,Biologi,Pemahaman senyawa organik dari Kimia adalah dasar untuk memahami pembentukan senyawa tersebut dalam Teori Evolusi Kimia di Biologi.,,,,,
LB083,Biologi <-> Kimia,Fotosintesis,Biologi,MEMPERDALAM,Karbohidrat (Sakarida),Kimia,Konsep karbohidrat dari kimia memperdalam pemahaman tentang produk utama yang dihasilkan dari fotosintesis.,,,,,
LB084,Biologi <-> Kimia,Energi Aktivasi,Biologi,BERKAITAN_DENGAN,Spontanitas Reaksi Elektrokimia,Kimia,"Energi aktivasi berkaitan dengan laju reaksi, sedangkan spontanitas reaksi elektrokimia berkaitan dengan kelayakan termodinamika.",,,,,
LB085,Biologi <-> Kimia,Energi Aktivasi,Biologi,MEMPERDALAM,reaksi spontan,Kimia,Energi aktivasi (Biologi/Kimia) memperdalam pemahaman mengapa reaksi spontan (Kimia) mungkin memerlukan pemicu atau katalis untuk laju signifikan.,,,,,
LB086,Biologi <-> Kimia,Holoenzim,Biologi,PRASYARAT_UNTUK,Identifikasi Gugus Fungsi,Kimia,Pemahaman gugus fungsi dari Kimia adalah prasyarat untuk memahami struktur kimia gugus prostetik dalam holoenzim di Biologi.,,,,,
LB087,Biologi <-> Kimia,Reaksi Elektrokimia,Kimia,MEMPERDALAM,Teori Evolusi Kimia,Biologi,Reaksi elektrokimia memperdalam pemahaman bagaimana energi listrik halilintar memicu pembentukan senyawa organik dalam teori evolusi kimia.,,,,,
LB088,Biologi <-> Kimia,Energi Aktivasi,Biologi,MEMPERDALAM,Reaksi Esterifikasi,Kimia,"Konsep energi aktivasi menjelaskan mengapa reaksi kimia, termasuk esterifikasi, membutuhkan energi awal untuk berlangsung.",,,,,
LB089,Biologi <-> Kimia,Asam Amino,Kimia,PRASYARAT_UNTUK,Holoenzim,Biologi,Pemahaman tentang asam amino (Kimia) adalah prasyarat untuk memahami struktur protein (apoenzim) yang merupakan bagian dari holoenzim (Biologi).,,,,,
LB090,Biologi <-> Kimia,Fotosintesis,Biologi,MEMPERDALAM,Sel Volta,Kimia,Konsep sel volta dalam kimia dapat memperdalam pemahaman tentang bagaimana transfer elektron dan reaksi redoks berperan dalam konversi energi pada fotosintesis.,,,,,
LB091,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Translasi,Biologi,Pemahaman struktur kimia DNA adalah prasyarat untuk memahami bagaimana informasi genetiknya diekspresikan melalui proses translasi dalam biologi.,,,,,
LB092,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Gametogenesis,Biologi,Konsep DNA dari Kimia adalah prasyarat fundamental untuk memahami materi genetik yang direplikasi dan diwariskan selama gametogenesis di Biologi.,,,,,
LB093,Biologi <-> Kimia,Asam Amino,Kimia,PRASYARAT_UNTUK,Teori Evolusi Kimia,Biologi,Konsep asam amino dari Kimia merupakan dasar untuk memahami perannya sebagai produk awal dalam Teori Evolusi Kimia di Biologi.,,,,,
LB094,Biologi <-> Kimia,Setengah Reaksi,Kimia,MEMPERDALAM,Siklus Krebs,Biologi,Pemahaman setengah reaksi dalam kimia membantu menganalisis dan memperdalam pemahaman reaksi redoks yang terjadi pada tahapan Siklus Krebs.,,,,,
LB095,Fisika <-> Kimia,alat ukur listrik,Fisika,PRASYARAT_UNTUK,elektrolit,Kimia,Pengetahuan alat ukur listrik dari Fisika adalah prasyarat untuk mengukur dan memahami sifat konduktivitas elektrolit dalam Kimia.,,,,,
LB096,Biologi <-> Kimia,Bioremediasi,Biologi,APLIKASI_DARI,Degradasi Plastik,Kimia,"Bioremediasi adalah aplikasi biologis dari konsep degradasi plastik, khususnya yang terjadi secara biologis.",,,,,
LB097,Fisika <-> Kimia,Defleksi Gerak Muatan,Fisika,PRASYARAT_UNTUK,Pelapisan Logam (Electroplating),Kimia,Konsep defleksi gerak muatan dalam fisika adalah prasyarat untuk memahami pergerakan ion dan mekanisme dasar pelapisan logam secara elektrokimia.,,,,,
LB098,Fisika <-> Kimia,alat ukur listrik,Fisika,BERKAITAN_DENGAN,jembatan garam,Kimia,Alat ukur listrik dan jembatan garam berkaitan karena keduanya merupakan komponen atau alat yang digunakan dalam studi sel elektrokimia.,,,,,
LB099,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,SAMA_DENGAN,DNA (Deoxyribonucleic Acid),Biologi,"Kedua konsep merujuk pada molekul DNA yang sama, meskipun dijelaskan dari perspektif kimia dan biologi.",,,,,
LB100,Biologi <-> Kimia,Polimer Alam,Kimia,PRASYARAT_UNTUK,Transkripsi,Biologi,Konsep polimer alam dari Kimia adalah prasyarat untuk memahami struktur DNA dan RNA yang berperan penting dalam proses transkripsi di Biologi.,,,,,
LB101,Biologi <-> Kimia,Fosforilasi Oksidatif,Biologi,MEMPERDALAM,Setengah Reaksi,Kimia,Konsep setengah reaksi (Kimia) memperdalam pemahaman tentang komponen oksidasi dan reduksi dalam setiap langkah fosforilasi oksidatif (Biologi).,,,,,
LB102,Biologi <-> Kimia,DNA (Asam 2-Deoksiribonukleat),Kimia,PRASYARAT_UNTUK,Transkripsi,Biologi,Pemahaman struktur DNA dari Kimia adalah prasyarat untuk memahami bagaimana DNA berfungsi sebagai cetakan dalam proses transkripsi di Biologi.,,,,,
LB103,Biologi <-> Kimia,Biodegradasi,Biologi,MEMPERDALAM,Degradasi Plastik,Kimia,"Konsep Biodegradasi dalam biologi memperdalam pemahaman tentang salah satu mekanisme utama Degradasi Plastik dalam kimia, yaitu penguraian secara biologis.",,,,,
LB104,Fisika <-> Kimia,Potensial Listrik,Fisika,PRASYARAT_UNTUK,Spontanitas Reaksi Elektrokimia,Kimia,Konsep potensial listrik dari fisika adalah prasyarat untuk memahami spontanitas reaksi elektrokimia yang ditentukan oleh potensial sel.,,,,,
LB105,Fisika <-> Kimia,alat ukur listrik,Fisika,PRASYARAT_UNTUK,elektrolisis,Kimia,Pengetahuan alat ukur listrik dari Fisika adalah prasyarat untuk melakukan dan menganalisis eksperimen elektrolisis dalam Kimia.,,,,,
